Ano,Países,Código SH2,Descrição SH2,Valor US$ FOB,Quilograma Líquido
2024,"
Japão",28,"
Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos",95942520,274971218
2024,"
China",39,"
Plásticos e suas obras",95454301,84015774
2024,"
Argentina",12,"
Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens",94280855,222007874
2024,"
Países Baixos (Holanda)",22,"
Bebidas, líquidos alcoólicos e vinagres",94218434,122388293
2024,"
Argentina",94,"
Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré",94071986,13208282
2024,"
Alemanha",2,"
Carnes e miudezas, comestíveis",92778856,21066253
2024,"
Países Baixos (Holanda)",80,"
Estanho e suas obras",92474641,3034621
2024,"
Argentina",70,"
Vidro e suas obras",90575013,29000628
2024,"
Argentina",30,"
Produtos farmacêuticos",85052748,6286731
2024,"
Chile",40,"
Borracha e suas obras",84872446,18312393
2024,"
Canadá",2,"
Carnes e miudezas, comestíveis",84680187,29838444
2024,"
México",30,"
Produtos farmacêuticos",84611898,1528669
2024,"
Alemanha",72,"
Ferro fundido, ferro e aço",84421872,115298015
2024,"
Estados Unidos",18,"
Cacau e suas preparações",83989930,10008124
2024,"
Japão",84,"
Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes",83746959,13634830
2024,"
Argentina",79,"
Zinco e suas obras",81001946,24891916
2024,"
Estados Unidos",19,"
Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria",80739898,28891251
2024,"
Países Baixos (Holanda)",21,"
Preparações alimentícias diversas",80624512,19851733
2024,"
Chile",17,"
Açúcares e produtos de confeitaria",79625090,146746604
2024,"
Alemanha",27,"
Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",79307912,94405390
2024,"
China",29,"
Produtos químicos orgânicos",79273294,46361888
2024,"
Chile",21,"
Preparações alimentícias diversas",78188624,17671288
2024,"
Estados Unidos",80,"
Estanho e suas obras",77985661,2551253
2024,"
Países Baixos (Holanda)",87,"
Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios",77332054,5606938
2024,"
Argentina",21,"
Preparações alimentícias diversas",76965750,16583897
2024,"
Argentina",35,"
Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas",76152832,24503984
2024,"
Países Baixos (Holanda)",18,"
Cacau e suas preparações",76128180,6481672
2024,"
Canadá",27,"
Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",75985126,177593109
2024,"
Espanha",72,"
Ferro fundido, ferro e aço",75294884,65857670
