Pais,Produto,Valor_2024,Valor_2026
Chile,Açúcares e produtos de confeitaria,79625090,110745298.0
Chile,"Bebidas, líquidos alcoólicos e vinagres",16995341,39155601.0
Chile,Borracha e suas obras,84872446,92229294.0
Chile,"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios",2972461,3462281.0
Chile,Cacau e suas preparações,59039453,69504408.0
Chile,"Café, chá, mate e especiarias",47911033,57918651.0
Chile,"Calçados, polainas e artefatos semelhantes; suas partes",27301278,31122116.0
Chile,"Carnes e miudezas, comestíveis",1032354691,1235311569.0
Chile,Cereais,10367396,107237819.0
Chile,"Chapéus e artefatos de uso semelhante, e suas partes",271482,314431.0
Chile,Chumbo e suas obras,99060,80475.0
Chile,Cobre e suas obras,9606360,10206846.0
Chile,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",1986538112,1730606341.0
Chile,Cortiça e suas obras,13124,8360.0
Chile,Embarcações e estruturas flutuantes,315452,4611408.0
Chile,Estanho e suas obras,906777,718157.0
Chile,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,25260593,27703812.0
Chile,"Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns",10981200,12540542.0
Chile,"Ferro fundido, ferro e aço",32888993,31404346.0
Chile,"Fibras sintéticas ou artificiais, descontínuas",171927,155001.0
Chile,Filamentos sintéticos ou artificiais,2586948,3174228.0
Chile,Frutas; cascas de frutos cítricos e de melões,10757600,14378929.0
Chile,"Gomas, resinas e outros sucos e extratos vegetais",873563,920689.0
Chile,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,27127642,31122116.0
Chile,"Guarda-chuvas, sombrinhas, guarda-sóis, bengalas, bengalas-assentos, chicotes, pingalins, e suas partes",8779,8779.0
